epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,49.9088,0.89097,1.12876,1.27827,0.63298,0.5,0.5213,0.31254,1.22878,2.58944,1.82088,0.000804661,0.000804661,0.000804661
20,51.9361,0.90252,1.16445,1.2887,0.36537,0.53125,0.52231,0.33857,1.19738,2.59857,1.81581,0.000821501,0.000821501,0.000821501
21,53.9971,0.92167,1.17577,1.25873,0.80242,0.46875,0.52816,0.30781,1.20183,2.50035,1.96709,0.0008357,0.0008357,0.0008357
22,56.0199,0.91079,1.15081,1.30348,0.79791,0.5162,0.5807,0.37975,1.12202,2.39231,1.83545,0.000847259,0.000847259,0.000847259
23,58.019,0.82801,1.09282,1.16653,0.69813,0.5625,0.54166,0.31506,1.40618,2.50678,1.97264,0.000856178,0.000856178,0.000856178
24,59.9786,0.88499,1.18596,1.28622,0.53834,0.5625,0.54246,0.29691,1.50823,2.5727,2.06456,0.000862456,0.000862456,0.000862456
25,61.969,0.97121,1.09071,1.25712,0.27196,0.5625,0.39502,0.22414,1.3312,2.67822,1.89049,0.000866093,0.000866093,0.000866093
26,63.9872,0.91133,1.09778,1.26574,0.48946,0.46875,0.41854,0.25556,1.14839,2.73677,1.76024,0.000841835,0.000841835,0.000841835
27,65.9857,0.81607,1.05334,1.21259,0.52665,0.40625,0.51414,0.31707,1.16041,2.54151,1.80293,0.000808828,0.000808828,0.000808828
28,68.039,0.87366,1.08068,1.23568,0.67,0.5,0.54888,0.32329,1.17942,2.32109,1.78906,0.000775822,0.000775822,0.000775822
29,70.3629,0.81815,1.03147,1.19888,0.79247,0.5,0.6049,0.36352,1.13488,2.21603,1.67982,0.000742815,0.000742815,0.000742815
30,72.4662,0.85655,1.0122,1.23623,0.86565,0.59375,0.61558,0.43214,1.03364,1.9805,1.57307,0.000709809,0.000709809,0.000709809
31,74.8255,0.83024,1.01646,1.25832,0.96052,0.4375,0.49127,0.33542,1.04075,2.02084,1.58155,0.000676802,0.000676802,0.000676802
32,77.3772,0.81517,0.96274,1.17292,0.45515,0.4375,0.48078,0.32348,1.05676,2.12932,1.63455,0.000643795,0.000643795,0.000643795
33,80.1035,0.88143,0.96352,1.29106,0.44565,0.4375,0.49634,0.32881,1.09761,2.26522,1.70428,0.000610789,0.000610789,0.000610789
34,82.8391,0.74667,0.87007,1.15306,0.4654,0.46875,0.51508,0.36483,1.07865,2.15289,1.65811,0.000577782,0.000577782,0.000577782
35,85.8586,0.73597,0.869,1.16331,0.55398,0.75,0.56984,0.38646,1.02273,1.85037,1.55397,0.000544776,0.000544776,0.000544776
36,88.5427,0.81824,0.91835,1.25049,0.84279,0.875,0.80885,0.53783,0.95883,1.71882,1.48263,0.000511769,0.000511769,0.000511769
37,90.7515,0.8089,0.95178,1.22383,0.95939,0.83413,0.87155,0.60492,0.94624,1.67894,1.44547,0.000478762,0.000478762,0.000478762
38,92.8064,0.77834,0.91422,1.18185,0.97111,0.8125,0.86781,0.61274,0.9019,1.64437,1.41584,0.000445756,0.000445756,0.000445756
39,94.8033,0.73148,0.84774,1.13335,0.93385,0.78514,0.86263,0.61573,0.90006,1.66521,1.42241,0.000412749,0.000412749,0.000412749
40,96.7983,0.76905,0.92867,1.19947,0.89486,0.84375,0.85778,0.56837,0.95006,1.73055,1.45684,0.000379743,0.000379743,0.000379743
41,103.514,0.64531,1.34665,1.0827,0.80463,0.84375,0.79849,0.52812,0.98161,1.81795,1.46589,0.000346736,0.000346736,0.000346736
42,106.863,0.69089,1.23088,1.10121,0.89324,0.78125,0.85071,0.515,1.0268,1.93398,1.48089,0.000313729,0.000313729,0.000313729
43,109.072,0.67767,1.22359,1.20445,0.91885,0.7233,0.83924,0.49197,1.17935,2.07793,1.52144,0.000280723,0.000280723,0.000280723
44,111.102,0.54318,1.14492,1.06912,0.94873,0.77512,0.82023,0.40735,1.23397,2.15511,1.51788,0.000247716,0.000247716,0.000247716
45,113.177,0.63662,1.2095,1.07746,0.8876,0.80283,0.84972,0.40466,1.25231,2.00889,1.54589,0.00021471,0.00021471,0.00021471
46,115.247,0.5586,1.0725,1.06721,0.91711,0.71385,0.83053,0.44208,1.19414,1.69697,1.4967,0.000181703,0.000181703,0.000181703
47,117.268,0.57057,1.11599,1.09027,0.91523,0.71875,0.83441,0.50012,1.11794,1.52798,1.45744,0.000148696,0.000148696,0.000148696
48,119.321,0.50111,1.02065,1.04598,0.9529,0.75,0.81742,0.50892,1.06232,1.43423,1.42156,0.00011569,0.00011569,0.00011569
49,121.62,0.46953,1.01097,1.05131,0.94952,0.74293,0.81573,0.53605,1.03036,1.39223,1.40147,8.26832e-05,8.26832e-05,8.26832e-05
50,123.841,0.47204,1.01564,1.01636,0.95059,0.73986,0.81581,0.54579,1.01973,1.38651,1.39546,4.96766e-05,4.96766e-05,4.96766e-05
